i,x,y
134,-15.945928573608398,-9.00015640258789
135,-15.947219848632812,-9.009954452514648
136,-15.944878578186035,-9.018263816833496
137,-15.937909126281738,-9.028557777404785
138,-15.920071601867676,-9.034687042236328
139,-15.895949363708496,-9.040008544921875
140,-15.875055313110352,-9.045760154724121
141,-15.84343147277832,-9.047346115112305
142,-15.807208061218262,-9.047268867492676
143,-15.766494750976562,-9.047384262084961
144,-15.7268648147583,-9.042047500610352
145,-15.689048767089844,-9.03720474243164
146,-15.64935302734375,-9.029696464538574
147,-15.61230754852295,-9.029711723327637
148,-15.565269470214844,-9.02495002746582
149,-15.528406143188477,-9.022640228271484
150,-15.485398292541504,-9.01708984375
151,-15.449687957763672,-9.01298999786377
152,-15.414215087890625,-9.013387680053711
153,-15.374202728271484,-9.010615348815918
154,-15.332592010498047,-9.013490676879883
155,-15.292939186096191,-9.009844779968262
156,-15.260374069213867,-9.006624221801758
157,-15.225160598754883,-9.006258964538574
158,-15.195779800415039,-9.010465621948242
159,-15.170683860778809,-9.010259628295898
160,-15.151069641113281,-9.010554313659668
161,-15.13476276397705,-9.010584831237793
162,-15.11196517944336,-9.01278018951416
163,-15.085147857666016,-9.012059211730957
164,-15.071502685546875,-9.01441478729248
165,-15.058191299438477,-9.014437675476074
166,-15.051523208618164,-9.016777992248535
167,-15.045731544494629,-9.025157928466797
168,-15.036175727844238,-9.030730247497559
169,-15.023168563842773,-9.035698890686035
170,-15.001981735229492,-9.047651290893555
171,-14.991781234741211,-9.050711631774902
172,-14.980536460876465,-9.05213451385498
173,-14.965386390686035,-9.059774398803711
174,-14.950685501098633,-9.065629005432129
175,-14.937921524047852,-9.069939613342285
176,-14.921883583068848,-9.083093643188477
177,-14.904023170471191,-9.099739074707031
178,-14.907005310058594,-9.119855880737305
179,-14.909561157226562,-9.145949363708496
180,-14.924819946289062,-9.172172546386719
181,-14.939605712890625,-9.200111389160156
182,-14.955947875976562,-9.221611976623535
183,-14.961800575256348,-9.236189842224121
184,-14.953289031982422,-9.244446754455566
185,-14.947965621948242,-9.246732711791992
186,-14.939933776855469,-9.248781204223633
187,-14.949577331542969,-9.234212875366211
188,-14.986191749572754,-9.188423156738281
189,-15.033602714538574,-9.106964111328125
190,-15.094610214233398,-9.012604713439941
191,-15.153613090515137,-8.901564598083496
192,-15.214340209960938,-8.781721115112305
193,-15.260740280151367,-8.67170238494873
